t100001,3
t100001,2
t100004,1
t100010,5
t100012,2
t100012,3
t100014,5
t100017,2
t100017,3
t100022,5
t100024,2
t100024,3
t100025,5
t100035,5
t100036,1
t100038,5
t100060,3
t100060,2
t100089,1
t100098,5
t100099,2
t100099,3
t10012,1
t100123,2
t100123,3
t100124,2
t100124,3
t100126,4
t100137,2
t100137,3
t100142,2
t100142,3
t100170,2
t100170,3
t100172,3
t100172,2
t100174,5
t100177,3
t100177,2
t100183,4
t100189,5
t100194,3
t100194,2
t100198,4
t100202,4
t100206,3
t100206,2
t100208,1
t100213,2
t100213,3
t100218,3
t100218,2
t100219,5
t100223,3
t100223,2
t100238,5
t10026,4
t100289,5
t100292,1
t100298,5
t100303,5
t100308,3
t100308,2
t100309,4
t100319,1
t100337,2
t100337,3
t100344,2
t100344,3
t10035,2
t10035,3
t10036,2
t10036,3
t100367,3
t100367,2
t10038,4
t100395,4
t10042,4
t100429,3
t100429,2
t100433,2
t100433,3
t100440,4
t100444,2
t100444,3
t100457,4
t100466,2
t100466,3
t100473,3
t100473,2
t100492,1
t10050,1
t100510,1
t100518,5
t100536,3
t100536,2
t100558,2
t100558,3
t100561,4
t100566,2
t100566,3
t100573,2
t100573,3
t100576,2
t100576,3
t100578,4
t100600,4
t100604,4
t100607,5
t10061,5
t100610,5
t10062,2
t10062,3
t100624,4
t10063,1
t100640,2
t100640,3
t100672,4
t100674,1
t100675,1
t100686,4
t100700,5
t100712,5
t100713,2
t100713,3
t10072,2
t10072,3
t100723,4
t100725,2
t100725,3
t100737,5
t100739,1
t100742,5
t100747,1
t100752,1
t100757,2
t100757,3
t100782,3
t100782,2
t100787,1
t100803,5
t100819,2
t100819,3
t100825,5
t10083,1
t100830,3
t100830,2
t100842,5
t100857,3
t100857,2
t10088,4
t100882,4
t100885,2
t100885,3
t100888,2
t100888,3
t100904,5
t100910,2
t100910,3
t100914,4
t100929,5
t100945,2
t100945,3
t100974,3
t100974,2
t10098,4
t100984,5
t10099,1
t100994,1
t100998,5
t101000,5
t101008,1
t101024,3
t101024,2
t101025,2
t101025,3
t101032,3
t101032,2
t101043,3
t101043,2
t101053,4
t101055,2
t101055,3
t101067,1
t101068,1
t101080,3
t101080,2
t10109,1
t101094,2
t101094,3
t101111,2
t101111,3
t101116,4
t101138,4
t10114,4
t101190,1
t101191,5
t101215,3
t101215,2
t101217,3
t101217,2
t101220,2
t101220,3
t101227,1
t101228,4
t101230,5
t101235,4
t101237,5
